timestamp,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1776519900000,75908.7,76145.7,75860.0,76080.5,1595.466,1776520799999,121336448.88370,40462,1049.755,79841368.57060,0
1776520800000,76080.5,76135.0,76034.7,76132.4,619.149,1776521699999,47113239.95980,19269,392.804,29890659.96910,0
1776521700000,76132.4,76150.0,75924.4,76101.1,838.933,1776522599999,63798872.14170,21859,452.900,34444831.24060,0
1776522600000,76101.0,76268.2,76101.0,76152.8,1697.348,1776523499999,129330263.25820,34914,1063.353,81024821.53400,0
1776523500000,76152.8,76223.0,76123.0,76211.2,540.861,1776524399999,41206936.56250,17966,334.280,25467713.59840,0
1776524400000,76211.2,76342.7,76085.4,76177.8,1384.166,1776525299999,105508688.00860,33284,788.064,60078700.25220,0
1776525300000,76177.8,76237.6,76100.4,76164.9,552.742,1776526199999,42098959.26170,18354,297.786,22680502.99680,0
1776526200000,76164.9,76195.4,76086.5,76086.5,300.972,1776527099999,22916308.07510,12699,140.878,10726986.47250,0
1776527100000,76086.5,76158.0,75931.9,76124.8,974.455,1776527999999,74095301.13740,21773,368.281,28010837.51290,0
1776528000000,76124.8,76176.6,75983.8,76144.0,913.175,1776528899999,69456021.98990,24711,422.194,32111674.59000,0
1776528900000,76144.1,76144.1,75584.1,76041.2,5992.471,1776529799999,454527981.59210,87503,2238.657,169851062.58400,0
1776529800000,76041.2,76088.6,75940.3,75943.1,579.173,1776530699999,44021690.03450,18693,271.745,20656908.09470,0
1776530700000,75943.0,75976.4,75807.1,75897.9,1096.408,1776531599999,83189384.45350,27605,540.804,41032685.27500,0
1776531600000,75897.9,75930.5,75724.8,75781.9,1423.398,1776532499999,107938719.00510,37868,628.478,47664091.00390,0
1776532500000,75781.9,75843.3,75741.9,75809.3,808.427,1776533399999,61287954.58390,17420,397.635,30146778.59580,0
1776533400000,75809.3,75843.3,75806.1,75829.7,605.489,1776534299999,45916942.36320,13271,323.593,24539525.64020,0
1776534300000,75829.7,75843.3,75783.8,75783.9,602.716,1776535199999,45702066.24680,7626,299.652,22724241.94920,0
1776535200000,75783.9,75805.1,75629.3,75756.1,1459.415,1776536099999,110491718.59050,33225,647.819,49049357.09060,0
